review_date,review_title,review_text,review_star,review_helpful,page,Sentiment,Product_defect_suggestion,Theme
"Reviewed in the United States on March 13, 2022","







  
  
    Tv
  
","









  
  
    
  Just enjoy

  
",5.0 out of 5 stars,"
  One person found this helpful
      
          Helpful
      
  ",5,positive,no,none
"Reviewed in the United States on March 19, 2022","







  
  
    Pick a different streaming option
  
","









  
  
    
  Not a fan

  
",1.0 out of 5 stars,"
  One person found this helpful
      
          Helpful
      
  ",5,negative,no,none
"Reviewed in the United States on April 26, 2022","







  
  
    App
  
","









  
  
    
  Is okay

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",5,neutral,no,none
"Reviewed in the United States on March 19, 2022","







  
  
    Great
  
","









  
  
    
  Great

  
",5.0 out of 5 stars,"
  One person found this helpful
      
          Helpful
      
  ",5,positive,no,none
"Reviewed in the United States on March 19, 2022","







  
  
    Don't watch
  
","









  
  
    
  Videos freeze too often

  
",1.0 out of 5 stars,"
  One person found this helpful
      
          Helpful
      
  ",5,negative,yes,app freezes
"Reviewed in the United States on April 28, 2022","







  
  
    Great
  
","









  
  
    
  Perfect

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",5,positive,no,none
"Reviewed in the United States on December 28, 2021","







  
  
    User Interface is terrible
  
","









  
  
    
  I subscribed to this serviced solely for the Premier League coverage.  The few times I've tried to watch a match, the controls and settings make it too frustrating to enjoy the experience.  Canceling now.

  
",1.0 out of 5 stars,"
  One person found this helpful
      
          Helpful
      
  ",5,negative,yes,bad user interface
"Reviewed in the United States on December 5, 2021","







  
  
    Convenient
  
","









  
  
    
  Kudos

  
",5.0 out of 5 stars,"
  One person found this helpful
      
          Helpful
      
  ",5,positive,no,none
"Reviewed in the United States on January 2, 2022","







  
  
    Nice
  
","









  
  
    
  Good

  
",5.0 out of 5 stars,"
  One person found this helpful
      
          Helpful
      
  ",5,positive,no,none
"Reviewed in the United States on February 26, 2022","







  
  
    This isn't a go to it keeps stalling.
  
","









  
  
    
  Don't know if it's the station of my tablet but the stalling is annoying.

  
",3.0 out of 5 stars,"
  7 people found this helpful
      
          Helpful
      
  ",5,negative,yes,app freezes
"Reviewed in the United States on October 26, 2021","







  
  
    I do not use this product.
  
","









  
  
    
  Please remove.

  
",1.0 out of 5 stars,"
  
      
          Helpful
      
  ",38,negative,no,none
"Reviewed in the United States on August 19, 2021","







  
  
    Awesome!!!
  
","









  
  
    
  Peacock is great! There is so many movies to choose and its very organized!! Thats a plus for us!!

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",38,positive,no,great organization
"Reviewed in the United States on April 26, 2022","







  
  
    Love this channel
  
","









  
  
    
  Love watching the movie and Fresh Prince of Bel Air

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",38,positive,no,good content
"Reviewed in the United States on February 23, 2022","







  
  
    I'm enjoying the channel.
  
","









  
  
    
  I am really happy with Peacock.

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",38,positive,no,none
"Reviewed in the United States on March 3, 2022","







  
  
    Terrible App
  
","









  
  
    
  I purchased this to watch one movie and thought it would be an asset to my movie choices.  I can't even get it to go to the movie that I want to watch.  Terrible app.

  
",1.0 out of 5 stars,"
  
      
          Helpful
      
  ",38,negative,yes,bad user interface
"Reviewed in the United States on September 26, 2021","







  
  
    Loading
  
","









  
  
    
  This site takes forever to load. Then when you think it's ready it goes into a loading mode again

  
",2.0 out of 5 stars,"
  
      
          Helpful
      
  ",38,negative,yes,long load times
"Reviewed in the United States on September 16, 2021","







  
  
    Awful do not use
  
","









  
  
    
  Awful don't recommend

  
",1.0 out of 5 stars,"
  
      
          Helpful
      
  ",38,negative,no,none
"Reviewed in the United States on March 8, 2022","







  
  
    Perfect
  
","









  
  
    
  I love my peacock tv

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",38,positive,no,none
"Reviewed in the United States on November 12, 2021","







  
  
    Don't pay for premium
  
","









  
  
    
  It's okay but not really great and the selection is subpar.If you already have Neflix, Hulu, HBOmax and or prime you already have enough...

  
",1.0 out of 5 stars,"
  4 people found this helpful
      
          Helpful
      
  ",38,negative,no,poor selection
"Reviewed in the United States on March 17, 2022","







  
  
    Free version sucks
  
","









  
  
    
  Unless you pay for premium, don't waste your time

  
",1.0 out of 5 stars,"
  
      
          Helpful
      
  ",38,negative,yes,free version is not good
"Reviewed in the United States on January 13, 2022","







  
  
    Enjoyable I
  
","









  
  
    
  I like that it not only has new programs it also has some of the older shows as well.

  
",5.0 out of 5 stars,"
  2 people found this helpful
      
          Helpful
      
  ",1,positive,no,good selection
"Reviewed in the United States on April 28, 2022","







  
  
    Terrible
  
","









  
  
    
  First it's very slow to download and install. That's after it asks for lots of information. It has lots of commercials and then after a couple of shows it requires you to buy a paid subscription. Deleted it!

  
",1.0 out of 5 stars,"
  
      
          Helpful
      
  ",1,negative,yes,bad user interface
"Reviewed in the United States on December 6, 2021","







  
  
    Yellowstone!
  
","









  
  
    
  We mainly use this to stream Yellowstop but good content.

  
",5.0 out of 5 stars,"
  7 people found this helpful
      
          Helpful
      
  ",1,positive,no,good content
"Reviewed in the United States on March 12, 2022","







  
  
    Great streaming app
  
","









  
  
    
  Great choice of shows

  
",5.0 out of 5 stars,"
  7 people found this helpful
      
          Helpful
      
  ",1,positive,no,good content
"Reviewed in the United States on March 10, 2022","







  
  
    Premier League Soccer
  
","









  
  
    
  I watch soccer and its great.  I am annoyed at the 24 hour delay of replays, but I'll get over that.

  
",5.0 out of 5 stars,"
  4 people found this helpful
      
          Helpful
      
  ",1,positive,yes,good for sports
"Reviewed in the United States on February 23, 2022","







  
  
    My kids love it 😍
  
","









  
  
    
  It’s great for price

  
",5.0 out of 5 stars,"
  4 people found this helpful
      
          Helpful
      
  ",1,positive,no,good for kids and good price
"Reviewed in the United States on March 7, 2022","







  
  
    Awesome!
  
","









  
  
    
  I love it!

  
",5.0 out of 5 stars,"
  4 people found this helpful
      
          Helpful
      
  ",1,positive,no,none
"Reviewed in the United States on November 17, 2021","







  
  
    Love it!!!!
  
","









  
  
    
  I absolutely love this stream. It has all my older favorites on it. It's the only place I found that has The Munsters.

  
",5.0 out of 5 stars,"
  3 people found this helpful
      
          Helpful
      
  ",1,positive,no,good content
"Reviewed in the United States on March 5, 2022","







  
  
    I have mixed feelings
  
","









  
  
    
  It's okay

  
",3.0 out of 5 stars,"
  3 people found this helpful
      
          Helpful
      
  ",1,neutral,no,none
"Reviewed in the United States on February 3, 2022","







  
  
    Great app
  
","









  
  
    
  Great shows

  
",5.0 out of 5 stars,"
  3 people found this helpful
      
          Helpful
      
  ",1,positive,no,good content
"Reviewed in the United States on January 2, 2022","







  
  
    Want to cancel
  
","









  
  
    
  I want to cancel too bills

  
",1.0 out of 5 stars,"
  
      
          Helpful
      
  ",40,negative,no,none
"Reviewed in the United States on August 29, 2021","







  
  
    Nothing is free. Typical bait and switch
  
","









  
  
    
  If I wanted  a free app with nothing but premium shows, I would stick with Prime

  
",1.0 out of 5 stars,"
  
      
          Helpful
      
  ",40,negative,yes,bait and switch
"Reviewed in the United States on August 13, 2021","







  
  
    oh god why
  
","









  
  
    
  this is proof that if god actually existed, he lives for our torment

  
",2.0 out of 5 stars,"
  
      
          Helpful
      
  ",40,negative,no,none
"Reviewed in the United States on August 25, 2021","







  
  
    Promoted as free but then wanted $$$
  
","









  
  
    
  The show I wanted to watch said ""watch free on peacock"" but when I went to watch, they charge by episode.

  
",1.0 out of 5 stars,"
  
      
          Helpful
      
  ",40,negative,yes,bait and switch
"Reviewed in the United States on September 20, 2021","







  
  
    Fantastic easy-to-use
  
","









  
  
    
  I've only been able to use it for about a week but so far I love it

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",40,positive,no,good user interface
"Reviewed in the United States on August 14, 2021","







  
  
    You can see shows that you haven't seen in years I like it and shows that we're on my
  
","









  
  
    
  I like it shows I haven't seen in years.  When my DVR Broke I was able to see the shows that I'd missed.

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",40,positive,no,good selection
"Reviewed in the United States on March 2, 2022","







  
  
    Need to cancel this!!!!!
  
","









  
  
    
  Need to cancel this, getting tons of scams since I logged into this. I can't seem to find how to cancel?

  
",1.0 out of 5 stars,"
  
      
          Helpful
      
  ",40,negative,yes,hard to cancel
